experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,65536,16384,float,sum,-1,980.8,0.07,0.13,0,981.1,0.07,0.13,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,131072,32768,float,sum,-1,987.5,0.13,0.26,0,992.0,0.13,0.26,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,262144,65536,float,sum,-1,996.1,0.26,0.51,0,986.5,0.27,0.51,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,524288,131072,float,sum,-1,1007.2,0.52,1.01,0,1025.9,0.51,0.99,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,1048576,262144,float,sum,-1,1029.1,1.02,1.97,0,1030.6,1.02,1.97,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,2097152,524288,float,sum,-1,1083.6,1.94,3.75,0,1081.9,1.94,3.76,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,4194304,1048576,float,sum,-1,1146.7,3.66,7.09,0,1153.3,3.64,7.05,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,8388608,2097152,float,sum,-1,1253.7,6.69,12.96,0,1253.2,6.69,12.97,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,16777216,4194304,float,sum,-1,1405.1,11.94,23.13,0,1406.8,11.93,23.11,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,33554432,8388608,float,sum,-1,1714.8,19.57,37.91,0,1702.8,19.71,38.18,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,67108864,16777216,float,sum,-1,2354.7,28.5,55.22,0,2355.5,28.49,55.2,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,134217728,33554432,float,sum,-1,3243.6,41.38,80.17,0,3242.5,41.39,80.2,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,268435456,67108864,float,sum,-1,5234.2,51.29,99.36,0,5228.8,51.34,99.47,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,536870912,134217728,float,sum,-1,9052.8,59.3,114.9,0,9056.3,59.28,114.86,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,1073741824,268435456,float,sum,-1,16767.0,64.04,124.08,0,16803.0,63.9,123.81,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,16,2,false,0,2147483648,536870912,float,sum,-1,32046.0,67.01,129.84,0,32019.0,67.07,129.95,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,65536,16384,float,sum,-1,375.2,0.17,0.34,0,372.4,0.18,0.34,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,131072,32768,float,sum,-1,389.2,0.34,0.65,0,377.4,0.35,0.67,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,262144,65536,float,sum,-1,418.3,0.63,1.21,0,421.0,0.62,1.21,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,524288,131072,float,sum,-1,439.6,1.19,2.31,0,440.9,1.19,2.3,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,1048576,262144,float,sum,-1,483.9,2.17,4.2,0,473.6,2.21,4.29,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,2097152,524288,float,sum,-1,524.4,4.0,7.75,0,521.9,4.02,7.79,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,4194304,1048576,float,sum,-1,620.1,6.76,13.11,0,617.8,6.79,13.15,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,8388608,2097152,float,sum,-1,798.3,10.51,20.36,0,808.8,10.37,20.1,0
Mercury,2024-03-27,aws-east-2-p5,H100,80GB,all-reduce,sum,binary-tree,4,32,4,2,4,false,0,16777216,4194304,float,sum,-1,1067.7,15.71,30.44,0,1067.8,15.71,30.44,0
