experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,65536,16384,float,sum,-1,1073.6,0.06,0.11,0,1072.3,0.06,0.11,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,131072,32768,float,sum,-1,1071.3,0.12,0.23,0,1069.9,0.12,0.23,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,262144,65536,float,sum,-1,1077.2,0.24,0.46,0,1077.6,0.24,0.46,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,524288,131072,float,sum,-1,1091.9,0.48,0.9,0,1098.2,0.48,0.9,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,1048576,262144,float,sum,-1,1179.7,0.89,1.67,0,1179.4,0.89,1.67,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,2097152,524288,float,sum,-1,1378.1,1.52,2.85,0,1378.2,1.52,2.85,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,4194304,1048576,float,sum,-1,2229.7,1.88,3.53,0,2236.1,1.88,3.52,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,8388608,2097152,float,sum,-1,3996.6,2.1,3.94,0,3984.0,2.11,3.95,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,16777216,4194304,float,sum,-1,7857.0,2.14,4.0,0,7884.1,2.13,3.99,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,33554432,8388608,float,sum,-1,15912.0,2.11,3.95,0,15901.0,2.11,3.96,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,67108864,16777216,float,sum,-1,32206.0,2.08,3.91,0,32208.0,2.08,3.91,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,134217728,33554432,float,sum,-1,65832.0,2.04,3.82,0,65752.0,2.04,3.83,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,1,64,2,false,0,268435456,67108864,float,sum,-1,133621.0,2.01,3.77,0,133330.0,2.01,3.77,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,2,4,4,false,0,65536,16384,float,sum,-1,291.5,0.22,0.42,0,291.5,0.22,0.42,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,2,4,4,false,0,131072,32768,float,sum,-1,295.7,0.44,0.83,0,296.8,0.44,0.83,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,2,4,4,false,0,262144,65536,float,sum,-1,306.8,0.85,1.6,0,310.3,0.84,1.58,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,2,4,4,false,0,524288,131072,float,sum,-1,387.9,1.35,2.53,0,392.7,1.34,2.5,0
Mercury,2024-03-28,frontera,RTX5000,16GB,all-reduce,sum,binary-tree,4,16,2,4,4,false,0,1048576,262144,float,sum,-1,675.5,1.55,2.91,0,680.6,1.54,2.89,0
