experiment_name,experiment_date,cluster_name,gpu_type,gpu_memory,collective,operation,algorithm,num_nodes,num_gpus,num_channels,num_chunks,buffer_size,gpus_as_nodes,iteration,message_size,count,dtype,redop,root,oop_time,oop_alg_bw,oop_bus_bw,oop_num_wrong,ip_time,ip_alg_bw,ip_bus_bw,ip_num_wrong
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,65536,16384,float,sum,-1,142.3,0.46,0.86,0,140.1,0.47,0.88,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,131072,32768,float,sum,-1,166.3,0.79,1.48,0,165.3,0.79,1.49,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,262144,65536,float,sum,-1,196.2,1.34,2.51,0,196.7,1.33,2.5,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,524288,131072,float,sum,-1,251.6,2.08,3.91,0,249.6,2.1,3.94,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,1048576,262144,float,sum,-1,370.2,2.83,5.31,0,365.6,2.87,5.38,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,2097152,524288,float,sum,-1,605.9,3.46,6.49,0,612.7,3.42,6.42,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,4194304,1048576,float,sum,-1,1090.0,3.85,7.21,0,1094.1,3.83,7.19,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,8388608,2097152,float,sum,-1,2087.5,4.02,7.53,0,2084.7,4.02,7.54,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,16777216,4194304,float,sum,-1,4052.1,4.14,7.76,0,4048.1,4.14,7.77,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,33554432,8388608,float,sum,-1,7767.4,4.32,8.1,0,7970.3,4.21,7.89,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,67108864,16777216,float,sum,-1,16029.0,4.19,7.85,0,15901.0,4.22,7.91,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,134217728,33554432,float,sum,-1,31236.0,4.3,8.06,0,31116.0,4.31,8.09,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,2,1,4,false,0,268435456,67108864,float,sum,-1,61154.0,4.39,8.23,0,69108.0,3.88,7.28,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,4,16,4,false,0,65536,16384,float,sum,-1,435.0,0.15,0.28,0,435.1,0.15,0.28,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,4,16,4,false,0,131072,32768,float,sum,-1,443.7,0.3,0.55,0,438.3,0.3,0.56,0
Mercury,2024-03-31,polaris,A100,40GB,all-reduce,sum,binary-tree,4,16,4,16,4,false,0,262144,65536,float,sum,-1,20804.0,0.01,0.02,0,457.1,0.57,1.08,0
